Date,Open,High,Low,Close,Adj Close,Volume
2021-10-06,1621800.0,2790000.0,1281600.0,1954800.0,1954800.0,40
2021-10-07,1971540.0,2300400.0,1445400.0,1566000.0,1566000.0,10
2021-10-08,1649160.0,2142000.0,1603800.0,1643400.0,1643400.0,12
2021-10-11,1807920.0,1920600.0,1645200.0,1670400.0,1670400.0,12
2021-10-12,1620000.0,1665000.0,1526400.0,1566000.0,1566000.0,2
2021-10-13,1528200.0,1553400.0,1243800.0,1407600.0,1407600.0,4
2021-10-14,1386000.0,1436400.0,1263600.0,1377000.0,1377000.0,2
2021-10-15,1368000.0,1562400.0,1355400.0,1490400.0,1490400.0,3
2021-10-18,1553400.0,1794600.0,1422000.0,1665000.0,1665000.0,8
2021-10-19,1677600.0,1744200.0,1530000.0,1648800.0,1648800.0,5
2021-10-20,1668600.0,1706400.0,1539000.0,1564200.0,1564200.0,2
2021-10-21,1589400.0,1616400.0,1485000.0,1589400.0,1589400.0,1
2021-10-22,1582200.0,1692000.0,1506600.0,1674000.0,1674000.0,2
2021-10-25,1717200.0,2116800.0,1677600.0,1999800.0,1999800.0,7
2021-10-26,1989000.0,2129400.0,1841400.0,2057400.0,2057400.0,3
2021-10-27,2052000.0,2988000.0,1996200.0,2359800.0,2359800.0,11
2021-10-28,2430000.0,2678220.0,2124000.0,2259000.0,2259000.0,5
2021-10-29,2187000.0,2390400.0,1999800.0,2239200.0,2239200.0,2
2021-11-01,2313000.0,2327400.0,2214000.0,2295000.0,2295000.0,1
2021-11-02,2262780.0,2288700.0,2138400.0,2181600.0,2181600.0,1
2021-11-03,2214000.0,2228220.0,2071800.0,2151000.0,2151000.0,1
2021-11-04,2192400.0,2678400.0,2192400.0,2678400.0,2678400.0,3
2021-11-05,2682000.0,2970000.0,2556000.0,2952000.0,2952000.0,3
2021-11-08,2952000.0,3103020.0,2620800.0,2716200.0,2716200.0,3
2021-11-09,2806200.0,2916000.0,2574000.0,2687400.0,2687400.0,2
2021-11-10,2723400.0,2725200.0,2431800.0,2521800.0,2521800.0,1
2021-11-11,2539800.0,2628000.0,2376000.0,2487600.0,2487600.0,1
2021-11-12,2466000.0,2514600.0,1994400.0,2115000.0,2115000.0,2
2021-11-15,2206800.0,2512800.0,2205000.0,2462400.0,2462400.0,1
2021-11-16,2538000.0,2730600.0,2538000.0,2664000.0,2664000.0,2
2021-11-17,2880000.0,2980800.0,2487600.0,2638800.0,2638800.0,3
2021-11-18,2588400.0,3232800.0,2538000.0,2966400.0,2966400.0,3
2021-11-19,3058200.0,3132000.0,2676600.0,2916000.0,2916000.0,1
2021-11-22,3040200.0,3146400.0,2881800.0,2957400.0,2957400.0,1
2021-11-23,2928600.0,3047400.0,2637000.0,2700000.0,2700000.0,1
2021-11-24,2721600.0,2786400.0,2656800.0,2757600.0,2757600.0,1
2021-11-26,2637000.0,2871000.0,2552400.0,2835000.0,2835000.0,0
2021-11-29,2916000.0,2959200.0,2745000.0,2885400.0,2885400.0,1
2021-11-30,2836800.0,2880000.0,2541600.0,2826000.0,2826000.0,1
2021-12-01,2844000.0,2880000.0,2556000.0,2606400.0,2606400.0,1
2021-12-02,2642400.0,2666700.0,2322000.0,2619000.0,2619000.0,1
2021-12-03,2565000.0,2603520.0,2332800.0,2386800.0,2386800.0,1
2021-12-06,2520000.0,2520000.0,2138400.0,2197800.0,2197800.0,1
2021-12-07,2208600.0,2272320.0,2075400.0,2145600.0,2145600.0,1
2021-12-08,2181600.0,2230200.0,2025000.0,2152800.0,2152800.0,1
2021-12-09,2127600.0,2169360.0,1908000.0,1924200.0,1924200.0,1
2021-12-10,1962000.0,2073600.0,1935000.0,2055600.0,2055600.0,0
2021-12-13,2034000.0,2158200.0,1674000.0,1699200.0,1699200.0,1
2021-12-14,1674000.0,1746000.0,1643400.0,1722600.0,1722600.0,1
2021-12-15,1695600.0,1844460.0,1449000.0,1827000.0,1827000.0,2
2021-12-16,1834200.0,1834200.0,1503000.0,1573200.0,1573200.0,1
2021-12-17,1528200.0,1551600.0,1432800.0,1432800.0,1432800.0,2
2021-12-20,1432800.0,1472400.0,1288800.0,1373400.0,1373400.0,1
2021-12-21,1346400.0,1648800.0,1324800.0,1634400.0,1634400.0,1
2021-12-22,1623600.0,1639800.0,1548000.0,1596600.0,1596600.0,0
2021-12-23,1555200.0,1573920.0,1494000.0,1537200.0,1537200.0,1
2021-12-27,1533600.0,1738800.0,1531800.0,1677600.0,1677600.0,1
2021-12-28,1690200.0,1703520.0,1585800.0,1639800.0,1639800.0,0
2021-12-29,1614600.0,1742400.0,1594620.0,1731600.0,1731600.0,0
2021-12-30,1755000.0,1976400.0,1701000.0,1940400.0,1940400.0,1
2021-12-31,1944000.0,1974600.0,1879200.0,1944000.0,1944000.0,0
2022-01-03,1945800.0,1980000.0,1884600.0,1980000.0,1980000.0,0
2022-01-04,1980000.0,2093400.0,1936800.0,1981800.0,1981800.0,1
2022-01-05,1989000.0,1989000.0,1771200.0,1845000.0,1845000.0,0
2022-01-06,1792800.0,1893600.0,1724400.0,1861200.0,1861200.0,0
2022-01-07,1837800.0,1852200.0,1719000.0,1719000.0,1719000.0,0
